name,address,source,category,price_range,year,notes
Steeped Tea Bar,Singapore,EatBook Top 50,Cafe - Tea,$8-15,2020,Best Dessert 2020
Monti,Fullerton Pavilion,EatBook/Chope,Restaurant - Italian,$48-110,2022,Most Romantic Restaurant 2022
Hopscotch,Multiple outlets,EatBook/Chope,Bar - Asian Fusion,$24-30,2022,Bar of the Year 2022
Wild Honey,Multiple outlets,EatBook/Chope,Restaurant - Brunch,$29-35,2022,Brunch Spot of the Year 2022
L'eclair Patisserie,Singapore Shopping Centre / Jewel,EatBook/Chope,Desserts - Eclair,$7.50-8.50,2022,Dessert Spot of the Year 2022
Prince Noodles,Multiple outlets,EatBook,Hawker - Ban Mian,$6-7,2025,Best Ban Mian
L32 Handmade Noodles,"558 Geylang Road, Lorong 32",EatBook,Hawker - Ban Mian,$5.50-9.90,2025,Best Ban Mian
Marsiling Handmade Mee Hoon Kueh,"20 Marsiling Lane, #01-15",EatBook,Hawker - Mee Hoon Kueh,$4-8,2025,Best Ban Mian
133 Mian Fen Guo,"216 Bedok North Street 1, #01-68",EatBook,Hawker - Ban Mian,$2.50-3.50,2025,Best Ban Mian
Greenview Cafe,"14 Scotts Road, #04-96, Far East Plaza",EatBook,Hawker - Mee Hoon Kueh,$7.20-9.20,2025,Best Ban Mian
Top 1 Home Made Noodles,"144 Upper Bukit Timah Road, #04-44, Beauty World",EatBook,Hawker - Ban Mian,$5-5.50,2025,Best Ban Mian
China Whampoa Homemade Noodles,"91 Whampoa Drive, #01-24",EatBook,Hawker - Ban Mian,$5+,2025,Best Ban Mian
Poon Nah City Home Made Noodle,"810 Geylang Road, #05-02, City Plaza",EatBook,Hawker - Ban Mian,$5+,2025,Best Ban Mian
Face Ban Mian,Multiple outlets,EatBook,Hawker - Ban Mian,$3.80+,2025,Best Ban Mian
He Jia Huan Ban Mian Mee Hoon Kway,Multiple outlets (Toa Payoh),EatBook,Hawker - Ban Mian,$5-6,2025,Best Ban Mian
Hot Spot Cafe & Restaurant,"175 Bencoolen Street, #01-34, Burlington Square",EatBook,Hawker - Ban Mian,$7.50+,2025,Best Ban Mian
Yi Xuan Handmade Banmian Eating House,"35 Circuit Road, Block 35",EatBook,Hawker - Ban Mian,$4.50,2025,Best Ban Mian
Lan Xiang Ban Mian,"163 Bukit Merah Central, #02-06",EatBook,Hawker - Ban Mian,$4.50-5.50,2025,Best Ban Mian
Fu Zhou Ban Mian,"186 Toa Payoh Central, J99 Kopitiam",EatBook,Hawker - Ban Mian,$5-6,2025,Best Ban Mian
Qiu Rong Ban Mian,"51 Old Airport Road, #01-64",EatBook,Hawker - Ban Mian,$5.50,2025,Best Ban Mian
195 Pearl Hill Cafe,Chinatown,Rubbish Eat Rubbish Grow,Restaurant - Hainanese/Italian,$5.90-9,2020,Best Food 2020
Black Marble by Otto,Raffles Holland V Mall,Rubbish Eat Rubbish Grow,Restaurant - Steaks,$34-78,2020,Best Food 2020
Caffe Cicheti,South Beach Tower,Rubbish Eat Rubbish Grow,Restaurant - Italian,$23-29.50,2020,Best Food 2020
Chuan Hung,Telok Ayer,Rubbish Eat Rubbish Grow,Restaurant - Sichuan,$5.50-15.50,2020,Best Food 2020
GO Noodle House,313@Somerset,Rubbish Eat Rubbish Grow,Restaurant - Malaysian,$9.90-10.90,2020,Best Food 2020
Long Beach,Robertson Quay,Rubbish Eat Rubbish Grow,Restaurant - Seafood,$14-28+,2020,Best Food 2020
Malaysian Hup Kee Fishball Noodle,Ang Mo Kio Ave 4,Rubbish Eat Rubbish Grow,Hawker - Fishball Noodle,$4-5,2020,Best Food 2020
SBCD Korean Tofu House,Tanjong Pagar / Millenia Walk,Rubbish Eat Rubbish Grow,Restaurant - Korean,$19.90-24.90,2020,Best Food 2020
Solo Ristorante,Amoy Street,Rubbish Eat Rubbish Grow,Restaurant - Italian,$18-45,2020,Best Food 2020
